STATUS,200
MESSAGEID,M181000I
MESSAGE,正常に終了しました。
DATE,2026-03-03T12:35:22.307+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,JP
PARAMETER,DB,MD01
PARAMETER,STARTDATE,
PARAMETER,ENDDATE,
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES_J,UNIT_J,FREQUENCY,CATEGORY_J,LAST_UPDATE,SURVEY_DATES,VALUES
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197502,118119
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197503,120309
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197504,121997
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197505,119240
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197506,123713
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197507,128796
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197508,127680
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197509,123821
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197510,123939
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197511,125027
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197512,143574
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197601,134134
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197602,125227
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197603,124500
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197604,126441
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197605,126091
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197606,127140
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197607,133537
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197608,131895
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197609,127874
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197610,128262
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197611,130964
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197612,154631
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197701,144368
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197702,137267
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197703,135653
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197704,142423
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197705,133360
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197706,139181
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197707,146866
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197708,144431
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197709,139208
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197710,139365
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197711,135659
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197712,165086
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197801,153803
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197802,145724
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197803,148400
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197804,153389
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197805,147716
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197806,152261
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197807,156034
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197808,157831
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197809,154029
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197810,154656
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197811,156247
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197812,187986
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197901,176380
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197902,162439
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197903,164119
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197904,166328
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197905,164621
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197906,166846
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197907,171627
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197908,172738
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197909,166614
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197910,167608
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197911,168389
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197912,199528
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198001,187775
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198002,175206
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198003,183050
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198004,190870
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198005,188262
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198006,191181
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198007,194043
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198008,192154
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198009,185748
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198010,184109
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198011,187772
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198012,213292
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198101,198514
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198102,185391
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198103,190574
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198104,187251
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198105,183477
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198106,186085
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198107,191493
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198108,191526
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198109,184597
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198110,185303
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198111,186660
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198112,221220
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198201,203012
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198202,190976
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198203,196212
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198204,200308
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198205,197649
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198206,199542
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198207,205925
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198208,206837
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198209,198824
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198210,200746
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198211,202262
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198212,236757
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198301,217482
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198302,206790
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198303,213271
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198304,211911
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198305,209675
